"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
2;"C12,C5,C10,C21,C4,C11,C19,C6,C8,C9,C7";"C_0402_1005Metric";11;"0.1uF";;;
3;"R20,R11,R21,R10";"R_0402_1005Metric";4;"100K";;;
4;"L1";"L_0805_2012Metric";1;"LMSH2012081R0MTA-1uH";;;
5;"C15,C13,C3,C14,C16";"C_0402_1005Metric";5;"4.7uF";;;
6;"C1";"C_0603_1608Metric";1;"22uF";;;
7;"C2";"C_0805_2012Metric";1;"47uF";;;
8;"R9,R6,R5,R14,R8,R22";"R_0402_1005Metric";6;"1K";;;
9;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12 MHz";;;
10;"R18";"R_0402_1005Metric";1;"2.2K";;;
11;"R19,R7";"R_0402_1005Metric";2;"10K";;;
12;"C24";"C_0402_1005Metric";1;"1uF";;;
13;"R3,R4";"R_0402_1005Metric";2;"27";;;
14;"D3,D1,D2";"LED_0402_1005Metric";3;"LED";;;
15;"U6";"WIFIM-SMD_61P-L13.2-W12.5-P0.80";1;"ESP32-C6-MINI-1U-H4";;;
16;"C20";"C_0402_1005Metric";1;"1nF";;;
17;"U4";"SOT-723_L1.2-W0.8-P0.80-LS1.2-BR";1;"TPD2EUSB30ADRTR";;;
18;"Q1";"SOT-523";1;"DMG1012T";;;
19;"C23,C22";"C_0402_1005Metric";2;"10uF";;;
20;"C17,C18";"C_0402_1005Metric";2;"33pF";;;
21;"L2";"IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T";1;"AOTA-B201610S3R3-3.3uH";;;
22;"U5";"SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL";1;"TPS2116DRLR";;;
23;"SW2,SW1";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
24;"J3,J2";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
25;"R13";"R_0402_1005Metric";1;"511K";;;
26;"R12";"R_0402_1005Metric";1;"91K";;;
27;"R15";"R_0402_1005Metric";1;"33";;;
28;"R17";"R_0402_1005Metric";1;"1M";;;
29;"R24";"R_0201_0603Metric";1;"200";;;
30;"U7";"TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL";1;"HX4054A.";;;
31;"R1,R2";"R_0402_1005Metric";2;"5.1K";;;
32;"U2";"SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL";1;"TPS631000DRLR";;;
33;"R23";"R_0201_0603Metric";1;"1";;;
34;"U1";"QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_60QFN";;;
35;"R16";"R_0402_1005Metric";1;"2M";;;
36;"U3";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm";1;"W25Q128JVP";;;
